###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57992.606869 -21.454  1.480   -10   14 o  0   0.79  74.64332  -8.30110  4814.00  8749.03 3.11 2.70 -82.1 -0.460 19.35 21.06 01a57992o0675o
57994.620142 -22.144  1.612    -5    8 o  0   1.75  74.64332  -8.30110  7341.49   590.05 2.19 2.02  58.4 -0.461 19.73 21.09 02a57994o0694o
57994.626835  21.935  1.843     6   11 o  0   1.01  74.64332  -8.30110  9479.21 10342.90 2.38 1.87  35.3 -0.490 19.61 20.95 02a57994o0706o
57994.627920 -22.933  4.045    -2   10 o  0   1.37  74.64332  -8.30110  7359.38   631.33 2.28 2.11  61.1 -0.453 19.59 20.85 02a57994o0708o
57994.634525  21.696  2.590     8   20 o  0   1.24  74.64332  -8.30110  9497.91 10384.74 2.43 1.90  41.4 -0.470 19.14 19.88 02a57994o0720o
57994.636170  25.541 96.000     0   21 o  0   0.95  74.64332  -8.30110  7299.53   554.27 2.25 2.11  61.7 -0.465 18.84 19.41 02a57994o0723o
57994.642815 -18.038  0.375  -221   83 o  0   1.30  74.64332  -8.30110  9436.38 10306.93 2.28 1.85  41.0 -0.462 17.72 17.64 02a57994o0735o
57994.643893 -18.809  0.741  -109   81 o  0   1.01  74.64332  -8.30110  7278.92   674.94 2.18 2.00  61.7 -0.445 17.42 17.30 02a57994o0737o
57996.581157  21.583  2.031     8   17 o  0   1.18  74.64332  -8.30110  1985.77  9557.53 3.66 3.27 -76.9 -0.423 19.02 20.69 01a57996o0517o
57996.588227 -20.823  1.079   -17   18 o  0   1.08  74.64332  -8.30110  1963.56  9500.69 3.61 3.45 -83.9 -0.407 19.04 20.72 01a57996o0531o
57996.595830  22.215  3.130     5   15 o  0   1.17  74.64332  -8.30110  2021.33  9560.59 3.25 2.83 -83.0 -0.450 19.22 20.76 01a57996o0546o
57996.602958 -20.348  0.652   -26   17 o  0   0.81  74.64332  -8.30110  2039.13  9424.47 3.50 3.07 -87.6 -0.425 19.14 20.79 01a57996o0560o
57998.584247  21.185  0.899    12   11 o  0   1.23  74.64332  -8.30110  5908.43  2513.35 2.22 2.15  50.1 -0.460 19.48 20.65 02a57998o0659o
57998.591972 -21.628  1.012    -8    8 o  0   1.00  74.64332  -8.30110  5926.08  2553.69 2.09 2.04  41.4 -0.452 19.59 20.68 02a57998o0674o
